==================================================
Using device: cuda

==================================================
==================================================
GPU: NVIDIA A100-SXM4-40GB

==================================================
==================================================
Model has 4483 paramters

==================================================
Training samples: 102
Test samples:     26
Epoch   1/10000 | Train Loss: 8941.177  | Test Loss: 9.590 | LR: 1.00e-03 | Time: 1.1s
Epoch   2/10000 | Train Loss: 7017.924  | Test Loss: 9.589 | LR: 1.00e-03 | Time: 0.6s
Epoch   3/10000 | Train Loss: 7003.257  | Test Loss: 9.564 | LR: 1.00e-03 | Time: 0.6s
Epoch   4/10000 | Train Loss: 6955.355  | Test Loss: 9.562 | LR: 1.00e-03 | Time: 0.6s
Epoch   5/10000 | Train Loss: 6936.875  | Test Loss: 9.576 | LR: 1.00e-03 | Time: 0.6s
Epoch   6/10000 | Train Loss: 6978.662  | Test Loss: 9.571 | LR: 1.00e-03 | Time: 0.6s
Epoch   7/10000 | Train Loss: 6952.448  | Test Loss: 9.596 | LR: 1.00e-03 | Time: 0.6s
Epoch   8/10000 | Train Loss: 6916.548  | Test Loss: 9.575 | LR: 1.00e-03 | Time: 0.6s
Epoch   9/10000 | Train Loss: 6928.517  | Test Loss: 9.546 | LR: 1.00e-03 | Time: 0.6s
Epoch  10/10000 | Train Loss: 6919.299  | Test Loss: 9.557 | LR: 1.00e-03 | Time: 0.6s
Epoch  11/10000 | Train Loss: 6923.758  | Test Loss: 9.547 | LR: 1.00e-03 | Time: 0.6s
Epoch  12/10000 | Train Loss: 6922.757  | Test Loss: 9.591 | LR: 1.00e-03 | Time: 0.6s
Epoch  13/10000 | Train Loss: 6925.305  | Test Loss: 9.599 | LR: 1.00e-03 | Time: 0.6s
Epoch  14/10000 | Train Loss: 6930.574  | Test Loss: 9.540 | LR: 1.00e-03 | Time: 0.6s
Epoch  15/10000 | Train Loss: 6903.205  | Test Loss: 9.591 | LR: 1.00e-03 | Time: 0.6s
Epoch  16/10000 | Train Loss: 6918.818  | Test Loss: 9.616 | LR: 1.00e-03 | Time: 0.6s
Epoch  17/10000 | Train Loss: 6902.500  | Test Loss: 9.606 | LR: 1.00e-03 | Time: 0.6s
Epoch  18/10000 | Train Loss: 6916.571  | Test Loss: 9.536 | LR: 1.00e-03 | Time: 0.6s
Epoch  19/10000 | Train Loss: 6899.632  | Test Loss: 9.590 | LR: 1.00e-03 | Time: 0.6s
Epoch  20/10000 | Train Loss: 6887.691  | Test Loss: 9.565 | LR: 1.00e-03 | Time: 0.6s
Epoch  21/10000 | Train Loss: 6905.860  | Test Loss: 9.588 | LR: 1.00e-03 | Time: 0.6s
Epoch  22/10000 | Train Loss: 6921.991  | Test Loss: 9.507 | LR: 1.00e-03 | Time: 0.6s
Epoch  23/10000 | Train Loss: 6930.913  | Test Loss: 9.496 | LR: 1.00e-03 | Time: 0.6s
Epoch  24/10000 | Train Loss: 6896.042  | Test Loss: 9.498 | LR: 1.00e-03 | Time: 0.6s
Epoch  25/10000 | Train Loss: 6888.498  | Test Loss: 9.475 | LR: 1.00e-03 | Time: 0.6s
Epoch  26/10000 | Train Loss: 6900.156  | Test Loss: 9.442 | LR: 1.00e-03 | Time: 0.6s
Epoch  27/10000 | Train Loss: 6902.088  | Test Loss: 9.497 | LR: 1.00e-03 | Time: 0.6s
Epoch  28/10000 | Train Loss: 6894.010  | Test Loss: 9.377 | LR: 1.00e-03 | Time: 0.6s
Epoch  29/10000 | Train Loss: 6864.256  | Test Loss: 9.407 | LR: 1.00e-03 | Time: 0.6s
Epoch  30/10000 | Train Loss: 6885.723  | Test Loss: 9.476 | LR: 1.00e-03 | Time: 0.6s
Epoch  31/10000 | Train Loss: 6887.510  | Test Loss: 9.419 | LR: 1.00e-03 | Time: 0.6s
Epoch  32/10000 | Train Loss: 6839.808  | Test Loss: 9.367 | LR: 1.00e-03 | Time: 0.6s
Epoch  33/10000 | Train Loss: 6855.354  | Test Loss: 9.344 | LR: 1.00e-03 | Time: 0.6s
Epoch  34/10000 | Train Loss: 6858.716  | Test Loss: 9.392 | LR: 1.00e-03 | Time: 0.6s
Epoch  35/10000 | Train Loss: 6843.598  | Test Loss: 9.339 | LR: 1.00e-03 | Time: 0.6s
Epoch  36/10000 | Train Loss: 6862.483  | Test Loss: 9.327 | LR: 1.00e-03 | Time: 0.6s
Epoch  37/10000 | Train Loss: 6831.269  | Test Loss: 9.301 | LR: 1.00e-03 | Time: 0.6s
Epoch  38/10000 | Train Loss: 6821.334  | Test Loss: 9.315 | LR: 1.00e-03 | Time: 0.6s
Epoch  39/10000 | Train Loss: 6795.101  | Test Loss: 9.255 | LR: 1.00e-03 | Time: 0.6s
Epoch  40/10000 | Train Loss: 6802.123  | Test Loss: 9.256 | LR: 1.00e-03 | Time: 0.6s
Epoch  41/10000 | Train Loss: 6771.799  | Test Loss: 9.252 | LR: 1.00e-03 | Time: 0.6s
Epoch  42/10000 | Train Loss: 6783.368  | Test Loss: 9.214 | LR: 1.00e-03 | Time: 0.6s
Epoch  43/10000 | Train Loss: 6767.601  | Test Loss: 9.261 | LR: 1.00e-03 | Time: 0.6s
Epoch  44/10000 | Train Loss: 6791.600  | Test Loss: 9.174 | LR: 1.00e-03 | Time: 0.6s
Epoch  45/10000 | Train Loss: 6815.815  | Test Loss: 9.210 | LR: 1.00e-03 | Time: 0.6s
Epoch  46/10000 | Train Loss: 6741.422  | Test Loss: 9.250 | LR: 1.00e-03 | Time: 0.6s
Epoch  47/10000 | Train Loss: 6726.771  | Test Loss: 9.091 | LR: 1.00e-03 | Time: 0.6s
Epoch  48/10000 | Train Loss: 6663.373  | Test Loss: 9.149 | LR: 1.00e-03 | Time: 0.6s
Epoch  49/10000 | Train Loss: 6664.895  | Test Loss: 9.051 | LR: 1.00e-03 | Time: 0.6s
Epoch  50/10000 | Train Loss: 6611.570  | Test Loss: 9.040 | LR: 1.00e-03 | Time: 0.6s
Epoch  51/10000 | Train Loss: 6602.468  | Test Loss: 8.943 | LR: 1.00e-03 | Time: 0.6s
Epoch  52/10000 | Train Loss: 6656.403  | Test Loss: 8.873 | LR: 1.00e-03 | Time: 0.6s
Epoch  53/10000 | Train Loss: 6556.733  | Test Loss: 9.104 | LR: 1.00e-03 | Time: 0.6s
Epoch  54/10000 | Train Loss: 6617.329  | Test Loss: 9.029 | LR: 1.00e-03 | Time: 0.6s
Epoch  55/10000 | Train Loss: 6526.284  | Test Loss: 8.863 | LR: 1.00e-03 | Time: 0.6s
Epoch  56/10000 | Train Loss: 6622.609  | Test Loss: 8.862 | LR: 1.00e-03 | Time: 0.6s
Epoch  57/10000 | Train Loss: 6530.700  | Test Loss: 8.842 | LR: 1.00e-03 | Time: 0.6s
Epoch  58/10000 | Train Loss: 6505.247  | Test Loss: 8.922 | LR: 1.00e-03 | Time: 0.6s
Epoch  59/10000 | Train Loss: 6460.883  | Test Loss: 8.701 | LR: 1.00e-03 | Time: 0.6s
Epoch  60/10000 | Train Loss: 6403.863  | Test Loss: 8.892 | LR: 1.00e-03 | Time: 0.6s
Epoch  61/10000 | Train Loss: 6350.999  | Test Loss: 8.855 | LR: 1.00e-03 | Time: 0.6s
Epoch  62/10000 | Train Loss: 6202.364  | Test Loss: 8.898 | LR: 1.00e-03 | Time: 0.5s
Epoch  63/10000 | Train Loss: 6369.464  | Test Loss: 8.663 | LR: 1.00e-03 | Time: 0.5s
Epoch  64/10000 | Train Loss: 6244.739  | Test Loss: 8.506 | LR: 1.00e-03 | Time: 0.5s
Epoch  65/10000 | Train Loss: 6275.604  | Test Loss: 8.754 | LR: 1.00e-03 | Time: 0.5s
Epoch  66/10000 | Train Loss: 6362.312  | Test Loss: 8.576 | LR: 1.00e-03 | Time: 0.5s
Epoch  67/10000 | Train Loss: 6158.894  | Test Loss: 8.674 | LR: 1.00e-03 | Time: 0.5s
Epoch  68/10000 | Train Loss: 6207.572  | Test Loss: 8.550 | LR: 1.00e-03 | Time: 0.5s
Epoch  69/10000 | Train Loss: 6264.802  | Test Loss: 8.592 | LR: 1.00e-03 | Time: 0.5s
Epoch  70/10000 | Train Loss: 6178.752  | Test Loss: 8.499 | LR: 1.00e-03 | Time: 0.5s
Epoch  71/10000 | Train Loss: 6205.689  | Test Loss: 8.623 | LR: 1.00e-03 | Time: 0.5s
Epoch  72/10000 | Train Loss: 6160.394  | Test Loss: 8.505 | LR: 1.00e-03 | Time: 0.5s
Epoch  73/10000 | Train Loss: 6131.266  | Test Loss: 8.696 | LR: 1.00e-03 | Time: 0.5s
Epoch  74/10000 | Train Loss: 6151.034  | Test Loss: 8.510 | LR: 1.00e-03 | Time: 0.5s
Epoch  75/10000 | Train Loss: 6124.650  | Test Loss: 8.705 | LR: 1.00e-03 | Time: 0.5s
Epoch  76/10000 | Train Loss: 6081.705  | Test Loss: 8.441 | LR: 1.00e-03 | Time: 0.5s
Epoch  77/10000 | Train Loss: 6174.152  | Test Loss: 8.639 | LR: 1.00e-03 | Time: 0.5s
Epoch  78/10000 | Train Loss: 6093.250  | Test Loss: 8.564 | LR: 1.00e-03 | Time: 0.5s
Epoch  79/10000 | Train Loss: 6053.038  | Test Loss: 8.462 | LR: 1.00e-03 | Time: 0.5s
Epoch  80/10000 | Train Loss: 6075.006  | Test Loss: 8.437 | LR: 1.00e-03 | Time: 0.5s
Epoch  81/10000 | Train Loss: 6113.679  | Test Loss: 8.595 | LR: 1.00e-03 | Time: 0.5s
Epoch  82/10000 | Train Loss: 6145.209  | Test Loss: 8.260 | LR: 1.00e-03 | Time: 0.5s
Epoch  83/10000 | Train Loss: 6023.153  | Test Loss: 8.611 | LR: 1.00e-03 | Time: 0.5s
Epoch  84/10000 | Train Loss: 6036.988  | Test Loss: 8.279 | LR: 1.00e-03 | Time: 0.5s
Epoch  85/10000 | Train Loss: 5950.492  | Test Loss: 8.429 | LR: 1.00e-03 | Time: 0.5s
Epoch  86/10000 | Train Loss: 5979.484  | Test Loss: 8.459 | LR: 1.00e-03 | Time: 0.5s
Epoch  87/10000 | Train Loss: 5930.842  | Test Loss: 8.399 | LR: 1.00e-03 | Time: 0.5s
Epoch  88/10000 | Train Loss: 6001.619  | Test Loss: 8.321 | LR: 1.00e-03 | Time: 0.5s
Epoch  89/10000 | Train Loss: 6013.251  | Test Loss: 8.289 | LR: 1.00e-03 | Time: 0.5s
Epoch  90/10000 | Train Loss: 6193.821  | Test Loss: 8.291 | LR: 1.00e-03 | Time: 0.5s
Epoch  91/10000 | Train Loss: 5945.618  | Test Loss: 8.459 | LR: 1.00e-03 | Time: 0.5s
Epoch  92/10000 | Train Loss: 6123.020  | Test Loss: 8.239 | LR: 1.00e-03 | Time: 0.5s
Epoch  93/10000 | Train Loss: 5954.695  | Test Loss: 8.390 | LR: 1.00e-03 | Time: 0.5s
Epoch  94/10000 | Train Loss: 5850.393  | Test Loss: 8.315 | LR: 1.00e-03 | Time: 0.5s
Epoch  95/10000 | Train Loss: 5949.836  | Test Loss: 8.367 | LR: 1.00e-03 | Time: 0.5s
Epoch  96/10000 | Train Loss: 5943.454  | Test Loss: 8.707 | LR: 1.00e-03 | Time: 0.5s
Epoch  97/10000 | Train Loss: 5773.438  | Test Loss: 8.516 | LR: 1.00e-03 | Time: 0.5s
Epoch  98/10000 | Train Loss: 5975.796  | Test Loss: 8.475 | LR: 1.00e-03 | Time: 0.5s
Epoch  99/10000 | Train Loss: 5953.033  | Test Loss: 8.382 | LR: 1.00e-03 | Time: 0.5s
Epoch 100/10000 | Train Loss: 5853.082  | Test Loss: 8.233 | LR: 1.00e-03 | Time: 0.5s
Epoch 101/10000 | Train Loss: 5916.146  | Test Loss: 8.283 | LR: 1.00e-03 | Time: 0.5s
Epoch 102/10000 | Train Loss: 5994.981  | Test Loss: 8.113 | LR: 1.00e-03 | Time: 0.5s
Epoch 103/10000 | Train Loss: 5891.533  | Test Loss: 8.163 | LR: 1.00e-03 | Time: 0.5s
Epoch 104/10000 | Train Loss: 5897.899  | Test Loss: 8.230 | LR: 1.00e-03 | Time: 0.5s
Epoch 105/10000 | Train Loss: 5781.429  | Test Loss: 8.118 | LR: 1.00e-03 | Time: 0.5s
Epoch 106/10000 | Train Loss: 5935.041  | Test Loss: 8.313 | LR: 1.00e-03 | Time: 0.5s
Epoch 107/10000 | Train Loss: 5830.242  | Test Loss: 8.119 | LR: 1.00e-03 | Time: 0.5s
Epoch 108/10000 | Train Loss: 5985.201  | Test Loss: 8.236 | LR: 1.00e-03 | Time: 0.5s
Epoch 109/10000 | Train Loss: 6974.187  | Test Loss: 8.173 | LR: 1.00e-03 | Time: 0.5s
Epoch 110/10000 | Train Loss: 5952.646  | Test Loss: 8.067 | LR: 1.00e-03 | Time: 0.5s
Epoch 111/10000 | Train Loss: 5929.086  | Test Loss: 8.048 | LR: 1.00e-03 | Time: 0.5s
Epoch 112/10000 | Train Loss: 5880.499  | Test Loss: 8.086 | LR: 1.00e-03 | Time: 0.5s
